"Date","Followers","Follower_Change","Num_Tweets"
2017-05-20,29897683,74883,2
2017-05-19,29822800,121294,4
2017-05-18,29701506,103801,1
2017-05-17,29597705,114724,4
2017-05-16,29482981,88064,2
2017-05-15,29394917,89031,1
2017-05-14,29305886,95746,2
2017-05-13,29210140,104829,10
2017-05-12,29105311,87111,5
2017-05-11,29018200,83050,11
2017-05-10,28935150,79029,3
2017-05-09,28856121,42407,9
2017-05-08,28813714,40523,6
2017-05-07,28773191,37375,1
2017-05-06,28735816,47550,9
2017-05-05,28688266,32636,10
2017-05-04,28655630,41626,2
2017-05-03,28614004,39644,5
2017-05-02,28574360,37123,3
2017-05-01,28537237,37460,5
2017-04-30,28499777,42951,3
2017-04-29,28456826,38844,6
2017-04-28,28417982,43612,12
2017-04-27,28374370,29664,9
2017-04-26,28344706,38929,4
2017-04-25,28305777,34942,7
2017-04-24,28270835,37616,7
2017-04-23,28233219,35112,6
2017-04-22,28198107,48996,8
2017-04-21,28149111,25438,3
2017-04-20,28123673,36985,4
2017-04-19,28086688,37400,7
2017-04-18,28049288,41906,8
2017-04-17,28007382,54035,6
2017-04-16,27953347,48542,0
2017-04-15,27904805,55511,2
2017-04-14,27849294,62171,4
2017-04-13,27787123,52846,5
2017-04-12,27734277,67824,6
2017-04-11,27666453,39250,2
2017-04-10,27627203,41399,3
2017-04-09,27585804,42679,4
2017-04-08,27543125,56169,1
2017-04-07,27486956,59537,1
2017-04-06,27427419,41130,2
2017-04-05,27386289,34969,4
2017-04-04,27351320,38185,6
2017-04-03,27313135,35510,4
2017-04-02,27277625,35901,8
2017-04-01,27241724,36523,7
2017-03-31,27205201,21400,8
2017-03-30,27183801,37898,5
2017-03-29,27145903,37495,6
2017-03-28,27108408,37360,4
2017-03-27,27071048,42504,2
2017-03-26,27028544,39381,4
2017-03-25,26989163,54548,3
2017-03-24,26934615,30275,4
2017-03-23,26904340,50377,4
2017-03-22,26853963,48510,3
2017-03-21,26805453,268927,25
2017-03-16,26536526,40220,9
2017-03-15,26496306,45186,2
2017-03-14,26451120,40814,5
2017-03-13,26410306,43599,0
2017-03-12,26366707,48374,1
2017-03-11,26318333,45400,3
2017-03-10,26272933,67964,4
2017-03-09,26204969,36037,5
2017-03-08,26168932,53058,6
2017-03-07,26115874,57448,5
2017-03-06,26058426,69720,3
2017-03-05,25988706,84112,7
2017-03-04,25904594,40340,7
2017-03-03,25864254,50048,2
2017-03-02,25814206,37548,1
2017-03-01,25776658,52365,2
2017-02-28,25724293,66141,3
2017-02-27,25658152,98597,4
2017-02-26,25559555,52685,6
2017-02-25,25506870,44890,5
2017-02-24,25461980,64895,3
2017-02-23,25397085,26524,2
2017-02-22,25370561,54835,2
2017-02-21,25315726,71323,4
2017-02-20,25244403,69655,0
2017-02-19,25174748,67741,3
2017-02-18,25107007,69339,8
2017-02-17,25037668,96612,5
2017-02-16,24941056,81072,11
2017-02-15,24859984,62423,4
2017-02-14,24797561,64789,5
2017-02-13,24732772,100260,7
2017-02-12,24632512,96638,10
2017-02-11,24535874,111190,-4
2017-02-10,24424684,137929,7
2017-02-09,24286755,113278,11
2017-02-08,24173477,99706,3
2017-02-07,24073771,130100,6
2017-02-06,23943671,181172,4
2017-02-05,23762499,180366,10
2017-02-04,23582133,181113,8
2017-02-03,23401020,146708,6
2017-02-02,23254312,116807,3
2017-02-01,23137505,134200,5
2017-01-31,23003305,176310,8
2017-01-30,22826995,177595,7
2017-01-29,22649400,135462,4
2017-01-28,22513938,150582,7
2017-01-27,22363356,234216,6
2017-01-26,22129140,240517,8
2017-01-25,21888623,164835,8
2017-01-24,21723788,168765,1
2017-01-23,21555023,295236,4
2017-01-22,21259787,314939,2
2017-01-21,20944848,471344,12
2017-01-20,20473504,145198,8
2017-01-19,20328306,117103,10
2017-01-18,20211203,112059,10
2017-01-17,20099144,114926,4
2017-01-16,19984218,100884,8
2017-01-15,19883334,93490,5
2017-01-14,19789844,88050,8
2017-01-13,19701794,111427,4
2017-01-12,19590367,161563,6
2017-01-11,19428804,131027,6
2017-01-10,19297777,169774,8
2017-01-09,19128003,100826,6
2017-01-08,19027177,103358,7
2017-01-07,18923819,142267,11
2017-01-06,18781552,107659,8
2017-01-05,18673893,100844,9
2017-01-04,18573049,110246,11
2017-01-03,18462803,75021,7
2017-01-02,18387782,72113,2
2017-01-01,18315669,93810,7
2016-12-31,18221859,67826,3
2016-12-30,18154033,57762,1
2016-12-29,18096271,67283,4
2016-12-28,18028988,60283,0
2016-12-27,17968705,51418,5
2016-12-26,17917287,49034,1
2016-12-25,17868253,54141,4
2016-12-24,17814112,79940,6
2016-12-23,17734172,56561,5
2016-12-22,17677611,44936,4
2016-12-21,17632675,56398,3
2016-12-20,17576277,63613,5
2016-12-19,17512664,70165,1
2016-12-18,17442499,58434,7
2016-12-17,17384065,39061,4
2016-12-16,17345004,38210,6
2016-12-15,17306794,48672,1
2016-12-14,17258122,41858,6
2016-12-13,17216264,53855,9
2016-12-12,17162409,44953,6
2016-12-11,17117456,46548,8
2016-12-10,17070908,45434,2
2016-12-09,17025474,62802,4
2016-12-08,16962672,80716,5
2016-12-07,16881956,94882,6
2016-12-06,16787074,100632,3
2016-12-05,16686442,100677,8
2016-12-04,16585765,62416,4
2016-12-03,16523349,52466,3
2016-12-02,16470883,49774,4
2016-12-01,16421109,75777,8
2016-11-30,16345332,107302,11
2016-11-29,16238030,70122,7
2016-11-28,16167908,74864,11
2016-11-27,16093044,98440,3
2016-11-26,15994604,53004,0
2016-11-25,15941600,63832,1
2016-11-24,15877768,59754,2
