favorite_count,Followers,Follower_Change,Num_Tweets,Year,Month,Week,Day,Hour,Holiday,Word_Count,Any_urls,Character_Count,avg_word_len,Num_Stopwords,Any_Hashtags,Num_Hashtags,Any_Mentions,Num_Mentions,Num_Upper,Upper,Num_Exclaim,Any_Clinton,Any_Obama,Any_MAGA,Any_ad,FakeNews,Any_Immigration,JoinMe,Conference,Rally,Welcomes,Violence,tf,idf,tfidf,Sentiment,Subjectivity
53571,54553633.0,7551.0,17,2018,9,38,21,1,0,33,0,211,5.424242424242424,12,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0.008264462809917356,5.932830017641612,0.04903165303836043,0.11212121212121212,0.3833333333333333
43045,54546082.0,20700.0,7,2018,9,38,20,23,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
56662,54546082.0,20700.0,7,2018,9,38,20,21,0,15,1,78,4.571428571428571,4,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0.016666666666666666,5.631866637656845,0.09386444396094742,0.0,0.0
53965,54546082.0,20700.0,7,2018,9,38,20,18,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
51620,54546082.0,20700.0,7,2018,9,38,20,18,0,30,0,167,4.6,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010101010101010102,5.992920407390639,0.06053454956960242,0.0,0.0
55760,54546082.0,20700.0,7,2018,9,38,20,18,0,28,0,160,4.75,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011683848797250857,6.764092951043991,0.07903063929054834,0.125,0.16666666666666666
70441,54546082.0,20700.0,7,2018,9,38,20,17,0,32,0,194,5.09375,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007194244604316546,5.19869587941543,0.03740068977996712,0.3090909090909091,0.48863636363636365
43325,54546082.0,20700.0,7,2018,9,38,20,17,0,37,0,214,4.8108108108108105,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.007352941176470588,5.532315263073373,0.04067878869906892,0.2599567099567099,0.5804112554112555
91147,54546082.0,20700.0,7,2018,9,38,20,13,0,8,0,52,6.428571428571429,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.022222222222222223,5.920127774771696,0.13155839499492658,0.16,0.5399999999999999
116581,54546082.0,20700.0,7,2018,9,38,20,11,0,41,0,241,4.902439024390244,19,0,0,0,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0.0070063694267515925,5.08072695218797,0.03559744998348259,-0.24074074074074073,0.9444444444444445
54720,54546082.0,20700.0,7,2018,9,38,20,11,0,24,0,160,5.708333333333333,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.011494252873563218,5.602467614751983,0.06439617947990785,0.2,0.3
61551,54546082.0,20700.0,7,2018,9,38,20,11,0,47,0,282,5.0212765957446805,19,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.00568306010928962,6.126066607287502,0.0348148047627268,0.26666666666666666,0.5333333333333333
82509,54546082.0,20700.0,7,2018,9,38,20,11,0,41,0,217,4.317073170731708,18,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.008437123342707917,5.761878783473689,0.04861368198189936,0.19,0.38
71777,54546082.0,20700.0,7,2018,9,38,20,11,0,45,0,254,4.666666666666667,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.007622504537205082,5.4173835348094626,0.041294030573865236,0.34233766233766233,0.542077922077922
73815,54546082.0,20700.0,7,2018,9,38,20,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
82490,54525382.0,19911.0,14,2018,9,38,19,23,0,14,0,98,6.071428571428571,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.012499999999999999,6.795256388782539,0.08494070485978172,0.28409090909090906,0.4636363636363636
